Witnesses (0<=n<99),Number of lies
(17,29),3
(17,38),3
(17,53),3
(17,62),3
(17,69),3
(17,74),3
(17,79),3
(17,82),3
(17,92),3
(18,1),3
(18,18),3
(18,57),3
(18,68),3
(19,31),3
(19,67),3
(19,68),3
(19,79),3
(19,97),3
(22,1),3
(22,17),3
(22,22),3
(22,29),3
(22,38),3
(22,41),3
(22,43),3
(22,53),3
(22,69),3
(22,74),3
(22,79),3
(22,82),3
(22,83),3
(22,85),3
(22,92),3
(26,1),3
(26,26),3
(26,43),3
(26,51),3
(26,53),3
(26,55),3
(26,57),3
(26,68),3
(26,74),3
(26,76),3
(26,93),3
(29,1),3
(29,16),3
(29,17),3
(29,22),3
(29,29),3
(29,31),3
(29,38),3
(29,44),3
(29,46),3
(29,53),3
(29,59),3
(29,61),3
(29,62),3
(29,69),3
(29,76),3
(29,79),3
(29,82),3
(29,89),3
(29,91),3
(29,92),3
(31,1),3
(31,19),3
(31,29),3
(31,31),3
(31,44),3
(31,46),3
(31,59),3
(31,61),3
(31,67),3
(31,68),3
(31,74),3
(31,76),3
(31,79),3
(31,89),3
(31,91),3
(31,97),3
(34,1),3
(34,34),3
(34,65),3
(34,67),3
(34,69),3
(34,71),3
(38,13),3
(38,17),3
(38,22),3
(38,29),3
(38,47),3
(38,53),3
(38,62),3
(38,69),3
(38,74),3
(38,77),3
(38,82),3
(38,86),3
(38,92),3
(41,22),3
(41,43),3
(41,62),3
(41,83),3
(41,85),3
(43,1),3
(43,22),3
(43,26),3
(43,41),3
(43,43),3
(43,51),3
(43,57),3
(43,62),3
(43,68),3
(43,74),3
(43,76),3
(43,82),3
(43,83),3
(43,85),3
(43,93),3
(44,1),3
(44,29),3
(44,31),3
(44,44),3
(44,59),3
(44,61),3
(44,74),3
(44,76),3
(46,1),3
(46,29),3
(46,31),3
(46,46),3
(46,59),3
(46,61),3
(46,74),3
(46,76),3
(47,1),3
(47,13),3
(47,38),3
(47,47),3
(47,57),3
(47,66),3
(47,73),3
(47,83),3
(47,86),3
(51,26),3
(51,43),3
(51,57),3
(51,74),3
(51,76),3
(51,82),3
(51,93),3
(53,1),3
(53,17),3
(53,22),3
(53,26),3
(53,29),3
(53,38),3
(53,53),3
(53,55),3
(53,62),3
(53,69),3
(53,74),3
(53,79),3
(53,92),3
(55,26),3
(55,53),3
(55,82),3
(57,1),3
(57,18),3
(57,26),3
(57,43),3
(57,47),3
(57,51),3
(57,57),3
(57,66),3
(57,68),3
(57,73),3
(57,74),3
(57,82),3
(57,83),3
(57,93),3
(59,29),3
(59,31),3
(59,44),3
(59,46),3
(59,61),3
(59,74),3
(59,76),3
(59,89),3
(59,91),3
(61,29),3
(61,31),3
(61,44),3
(61,46),3
(61,59),3
(61,74),3
(61,76),3
(61,89),3
(61,91),3
(62,17),3
(62,29),3
(62,38),3
(62,41),3
(62,43),3
(62,53),3
(62,64),3
(62,69),3
(62,74),3
(62,79),3
(62,82),3
(62,83),3
(62,85),3
(62,92),3
(64,1),3
(64,62),3
(64,64),3
(64,83),3
(65,34),3
(65,67),3
(66,47),3
(66,57),3
(66,73),3
(66,83),3
(67,1),3
(67,19),3
(67,31),3
