Witnesses (0<=n<299),Number of lies
(0,234),58
(0,235),58
(0,236),58
(0,237),58
(0,238),58
(0,239),58
(0,240),58
(0,241),58
(0,242),58
(0,243),58
(0,244),58
(0,245),58
(0,246),58
(0,247),58
(0,248),58
(0,249),58
(0,250),58
(0,251),58
(0,252),58
(0,253),58
(0,254),58
(0,255),58
(0,256),58
(0,257),58
(0,258),58
(0,259),58
(0,260),58
(0,261),58
(0,262),58
(0,263),58
(0,264),58
(0,265),58
(0,266),58
(0,267),58
(0,268),58
(0,269),58
(0,270),58
(0,271),58
(0,272),58
(0,273),58
(0,274),58
(0,275),58
(0,276),58
(0,277),58
(0,278),58
(0,279),58
(0,280),58
(0,281),58
(0,282),58
(0,283),58
(0,284),58
(0,285),58
(0,286),58
(0,287),58
(0,288),58
(0,289),58
(0,290),58
(0,291),58
(0,292),58
(0,293),58
(0,294),58
(0,295),58
(0,296),58
(0,297),58
(0,298),58
(1,0),58
(2,0),58
(3,0),58
(4,0),58
(5,0),58
(6,0),58
(7,0),58
(8,0),58
(9,0),58
(10,0),58
(11,0),58
(12,0),58
(13,0),58
(14,0),58
(15,0),58
(16,0),58
(17,0),58
(18,0),58
(19,0),58
(20,0),58
(21,0),58
(22,0),58
(23,0),58
(24,0),58
(25,0),58
(26,0),58
(27,0),58
(28,0),58
(29,0),58
(30,0),58
(31,0),58
(32,0),58
(33,0),58
(34,0),58
(35,0),58
(36,0),58
(37,0),58
(38,0),58
(39,0),58
(40,0),58
(41,0),58
(42,0),58
(43,0),58
(44,0),58
(45,0),58
(46,0),58
(47,0),58
(48,0),58
(49,0),58
(50,0),58
(51,0),58
(52,0),58
(53,0),58
(54,0),58
(55,0),58
(56,0),58
(57,0),58
(58,0),58
(59,0),58
(60,0),58
(61,0),58
(62,0),58
(63,0),58
(64,0),58
(65,0),58
(66,0),58
(67,0),58
(68,0),58
(69,0),58
(70,0),58
(71,0),58
(72,0),58
(73,0),58
(74,0),58
(75,0),58
(76,0),58
(77,0),58
(78,0),58
(79,0),58
(80,0),58
(81,0),58
(82,0),58
(83,0),58
(84,0),58
(85,0),58
(86,0),58
(87,0),58
(88,0),58
(89,0),58
(90,0),58
(91,0),58
(92,0),58
(93,0),58
(94,0),58
(95,0),58
(96,0),58
(97,0),58
(98,0),58
(99,0),58
(100,0),58
(101,0),58
(102,0),58
(103,0),58
(104,0),58
(105,0),58
(106,0),58
(107,0),58
(108,0),58
(109,0),58
(110,0),58
(111,0),58
(112,0),58
(113,0),58
(114,0),58
(115,0),58
(116,0),58
(117,0),58
(118,0),58
(119,0),58
(120,0),58
(121,0),58
(122,0),58
(123,0),58
(124,0),58
(125,0),58
(126,0),58
(127,0),58
(128,0),58
(129,0),58
(130,0),58
(131,0),58
(132,0),58
(133,0),58
(134,0),58
(135,0),58
(136,0),58
(137,0),58
(138,0),58
(139,0),58
(140,0),58
(141,0),58
(142,0),58
(143,0),58
(144,0),58
(145,0),58
(146,0),58
(147,0),58
(148,0),58
(149,0),58
(150,0),58
(151,0),58
(152,0),58
(153,0),58
(154,0),58
(155,0),58
(156,0),58
(157,0),58
(158,0),58
(159,0),58
(160,0),58
(161,0),58
(162,0),58
(163,0),58
(164,0),58
(165,0),58
(166,0),58
(167,0),58
(168,0),58
(169,0),58
(170,0),58
(171,0),58
(172,0),58
(173,0),58
(174,0),58
(175,0),58
(176,0),58
(177,0),58
(178,0),58
(179,0),58
(180,0),58
(181,0),58
(182,0),58
(183,0),58
(184,0),58
(185,0),58
(186,0),58
(187,0),58
(188,0),58
(189,0),58
(190,0),58
(191,0),58
(192,0),58
(193,0),58
(194,0),58
(195,0),58
(196,0),58
(197,0),58
(198,0),58
(199,0),58
(200,0),58
